Title,Year
Together for Days,1972
The Exterminator,1980
Ragtime,1981
Uncle Tom's Cabin,1987
Magic Sticks,1987
School Daze,1988
Coming to America,1988
Dead Man Out,1989
Do the Right Thing,1989
Sea of Love,1989
Def by Temptation,1990
A Shock to the System,1990
Betsy's Wedding,1990
Mo' Better Blues,1990
The Exorcist III,1990
GoodFellas,1990
The Return of Superfly,1990
Jungle Fever,1991
Johnny Suede,1991
Strictly Business,1991
Dead and Alive: The Race for Gus Farace,1991
Jumpin' at The Boneyard,1991
Fathers & Sons,1992
Juice,1992
White Sands,1992
Patriot Games,1992
Loaded Weapon 1,1993
Amos & Andrew,1993
Menace II Society,1993
Jurassic Park,1993
True Romance,1993
Fresh,1994
Assault at West Point: The Court-Martial of Johnson Whittaker,1994
Against the Wall,1994
Hail Caesar,1994
Pulp Fiction,1994
The New Age,1994
The Search for One-eye Jimmy,1994
Losing Isaiah,1995
Kiss of Death,1995
Die Hard: With a Vengeance,1995
Fluke,1995
Hard Eight,1996
The Great White Hype,1996
Trees Lounge,1996
A Time to Kill,1996
The Long Kiss Goodnight,1996
One Eight Seven,1997
Eve's Bayou,1997
Jackie Brown,1997
Sphere,1998
Out of Sight,1998
The Negotiator,1998
The Red Violin,1998
"Our Friend, Martin",1999
Star Wars: Episode I - The Phantom Menace,1999
Deep Blue Sea,1999
Rules of Engagement,2000
Shaft,2000
Unbreakable,2000
The Caveman's Valentine,2001
The 51st State,2001
Changing Lanes,2002
Star Wars: Episode II - Attack of the Clones,2002
No Good Deed,2002
xXx,2002
Basic,2003
S.W.A.T.,2003
Country of My Skull,2004
Twisted,I) (
Kill Bill: Vol. 2,2004
The Incredibles,2004
Coach Carter,2005
xXx²: The Next Level,2005
Star Wars: Episode III - Revenge of the Sith,2005
The Man,2005
Farce of the Penguins,2006
Freedomland,2006
Snakes on a Plane,2006
Black Snake Moan,2006
Home of the Brave,2006
Resurrecting the Champ,2007
1408,2007
Cleaner,2007
Jumper,2008
Iron Man,2008
Star Wars: The Clone Wars,2008
Lakeview Terrace,2008
Gospel Hill,2008
Soul Men,2008
The Spirit,2008
Afro Samurai: Resurrection,2009
Inglourious Basterds,2009
Mother and Child,2009
Astro Boy,2009
Iron Man 2,2010
Unthinkable,2010
The Other Guys,2010
Quantum Quest: A Cassini Space Odyssey,2010
The Sunset Limited,2011
